"id";"symbol";"price";"time"
386;"RLCUSDT";0.7124;1655136787322
387;"IOTAUSDT";0.2596;1655136793789
388;"AVAXBUSD";15.83;1655135986462
389;"WOOUSDT";0.13192;1655136698260
390;"EOSUSDT";0.914;1655136801368
391;"ALPHAUSDT";0.5009;1652329330016
392;"GMTBUSD";0.5891;1655136802659
393;"MASKUSDT";1.295;1655136797121
394;"SFPUSDT";0.9765;1652273549287
395;"IMXUSDT";0.7177;1655136787691
396;"CHZUSDT";0.09525;1655136801964
397;"BTCUSDT_220624";27530.7;1655136802450
398;"RUNEUSDT";6.567;1647477317104
399;"LTCUSDT";44.62;1655136803560
400;"DODOBUSD";0.1369;1655135986511
401;"STMXUSDT";0.00625;1655136225501
402;"SOLUSDT";28.12;1655136794579
403;"ATAUSDT";0.1487;1655135243253
404;"AXSUSDT";13.38;1655136796955
405;"RENUSDT";0.0863;1655136775424
406;"TLMBUSD";0.02375;1655136689748
407;"BALUSDT";4.995;1655136794531
408;"BELUSDT";1.1504;1651356233017
409;"XMRUSDT";143.78;1655136803626
410;"APEBUSD";3.35;1655133126415
411;"UNFIUSDT";4.35;1655135259836
412;"ICPBUSD";5.468;1655132774377
413;"NEARBUSD";3.526;1655136802592
414;"ZRXUSDT";0.2473;1655136801634
415;"RVNUSDT";0.08283;1649636539018
416;"ETHUSDT";1265.24;1655136801028
417;"CHRUSDT";0.1745;1652273457064
418;"DUSKUSDT";0.14297;1655136802354
419;"CTSIUSDT";0.5431;1652272694061
420;"ARUSDT";34.15;1652111373067
421;"COTIUSDT";0.08992;1655135998800
422;"BTCSTUSDT";316.1;1615445516575
423;"XTZUSDT";1.456;1655136796536
424;"BCHUSDT";135.48;1655136803634
425;"SCUSDT";0.003656;1655136799950
426;"APEUSDT";3.704;1655136787738
427;"ROSEUSDT";0.04884;1655136776068
428;"CRVUSDT";4.598;1652475702025
429;"WAVESUSDT";4.736;1655136794389
430;"ZILUSDT";0.03361;1655136801586
431;"1INCHUSDT";0.606;1655136794720
432;"AUDIOUSDT";0.2968;1655136794967
433;"HOTUSDT";0.00204;1655136775704
434;"AAVEUSDT";158.0;1645719204391
